2,4e-06
2,5e-06
2,5e-06
2,1e-06
2,2e-06
2,1e-06
2,9e-06
2,3e-06
2,12.4804
Procs , TimeElapsed
1,37.4432
Procs , TimeElapsed
1,38.1864
Procs , TimeElapsed
1,38.4494
2,1.91099
2,6.46834
2,45.6187
2,1.92393
2,4.72569
2,5.42557
2,0.924333
2,0.370672
2,7.77071
2,0.373218
2,8.07955
2,8.26335
2,11.2725
2,0.669489
2,0.757124
2,0.65586
2,0.799925
2,0.823694
2,88.7487
2,0.740379
2,1.07669
Procs , TimeElapsed
1,1.11418
Procs , TimeElapsed
1,0.944287
Procs , TimeElapsed
1,0.931447
Procs , TimeElapsed
1,0.982933
Procs , TimeElapsed
1,0.869399
Procs , TimeElapsed
1,10.8519
Procs , TimeElapsed
1,9.94928
Procs , TimeElapsed
1,5.00126
Procs , TimeElapsed
1,5.03019
Procs , TimeElapsed
1,12.8977
Procs , TimeElapsed
1,5.23453
Procs , TimeElapsed
1,10.1135
Procs , TimeElapsed
1,10.8197
Procs , TimeElapsed
1,6322.06
Procs , TimeElapsed
1,4.99707
Procs , TimeElapsed
1,4.94989
2,0.067106
2,0.06274
2,0.037089
2,0.058765
2,3.77818
2,0.056303
2,0.059958
2,0.057873
Procs , TimeElapsed
1,0.082859
Procs , TimeElapsed
1,0.08273
Procs , TimeElapsed
1,0.083176
Procs , TimeElapsed
1,0.084244
Procs , TimeElapsed
1,0.082714
Procs , TimeElapsed
1,0.084886
Procs , TimeElapsed
1,0.083793
Procs , TimeElapsed
1,0.104744
Procs , TimeElapsed
1,0.699474
Procs , TimeElapsed
1,0.2712
Procs , TimeElapsed
1,0.276693
2,0.41705
Procs , TimeElapsed
1,0.271919
Procs , TimeElapsed
1,0.612913
Procs , TimeElapsed
1,0.697295
Procs , TimeElapsed
1,0.542932
Procs , TimeElapsed
1,1.88091
Procs , TimeElapsed
1,3.8315
Procs , TimeElapsed
1,8.3164
Procs , TimeElapsed
1,8.56791
Procs , TimeElapsed
1,8.46498
Procs , TimeElapsed
1,8.28095
Procs , TimeElapsed
1,1.13336
Procs , TimeElapsed
1,0.951475
Procs , TimeElapsed
1,3.75197
Procs , TimeElapsed
1,5.01446
Procs , TimeElapsed
1,3.86884
Procs , TimeElapsed
1,1.72881
Procs , TimeElapsed
1,0.824198
Procs , TimeElapsed
1,0.839021
Procs , TimeElapsed
1,39.6255
Procs , TimeElapsed
1,39.939
Procs , TimeElapsed
1,1.02199
Procs , TimeElapsed
1,0.982393
Procs , TimeElapsed
1,0.988605
2,1.41898
2,25.7906
2,82.1901
2,1.91913
2,23.9308
2,0.931011
2,79.8178
2,1.50189
2,1.07037
2,1.95393
2,1.14002
2,15.5122
